Article Title,Current Category,New Category,Date Published,URL,NEW URL,KILL,REDIRECT,NOINDEX
"Israel's version of Ironman mixes desert, beach and grit",Sports,Lifestyle,6/26/2014,http://rethinkisrael.org/israman-triathlon-race-mixes-desert-beach/,,,,
Tesla wants to make it safe to take your eyes off the road ,Technology,Innovation,6/26/2014,http://rethinkisrael.org/tesla-wants-make-safe-eyes-off-road/,,,,
Gold-medal chocolate gets its flavor from an unlikely source,Entertainment & Lifestyle,Food,6/27/2014,http://rethinkisrael.org/gold-medal-chocolate-gets-flavor-from-unlikely-source/,,,,
Breads Bakery is making NYC a little more delicious,Entertainment & Lifestyle,Food,6/27/2014,http://rethinkisrael.org/breads-bakery-new-york-city-little-more-delicious/,,,,
World Health Organization says we're all living longer,Science & Medicine,Health,6/27/2014,http://rethinkisrael.org/world-health-organization-says-all-living-longer/,,,,
We became a family': Creating a community through dance,Entertainment & Lifestyle,Lifestyle,6/27/2014,http://rethinkisrael.org/creating-community-through-dance/,,,,
Israel's best spots for family fun in the sun,Entertainment & Lifestyle,Lifestyle,6/27/2014,http://rethinkisrael.org/israel-best-spots-for-family-fun-sun/,,,,
App uses crowdsourcing to watch for credit-card fraud,Technology,Innovation,6/27/2014,http://rethinkisrael.org/app-uses-crowdsourcing-watch-credit-card-fraud/,,,,
Spielberg's niece steps into the spotlight on reality show,Entertainment & Lifestyle,Arts,6/30/2014,http://rethinkisrael.org/steven-spielbergs-niece-competing-israeli-reality-show/,,,,
Why do children in Israel have fewer peanut allergies?,Science & Medicine,Health,6/30/2014,http://rethinkisrael.org/children-israel-fewer-peanut-allergies/,,,,
Dragon boat racing makes a splash in Israel,Sports,Lifestyle,6/30/2014,http://rethinkisrael.org/dragon-boat-racing-makes-splash-israel/,,,,
NBA coach to face his former Israeli team in his first game,Sports,Lifestyle,6/30/2014,http://rethinkisrael.org/nba-coach-face-former-israeli-team/,,,,
8 eye-popping gardens to see before you die,Entertainment & Lifestyle,Nature,6/30/2014,http://rethinkisrael.org/8-eye-popping-gardens-see/,,,,
How to cook couscous in 10 surprisingly delicious ways,Entertainment & Lifestyle,Food,7/1/2014,http://rethinkisrael.org/cook-couscous-deliciously-surprising-ways/,,,,
Taming the desert to make healthy eating affordable,Science & Medicine,Health,7/1/2014,http://rethinkisrael.org/taming-the-desert-make-healthy-eating-affordable/,,,,
As seen on TV: heart surgery guided by 3D holograms,"Science & Medicine, Technology",Innovation,7/1/2014,http://rethinkisrael.org/seen-tv-hologram-guided-heart-surgery/,,,,
Disabled green sea turtle gets life-saving prosthetic fin,Science & Medicine,Innovation,7/1/2014,http://rethinkisrael.org/disabled-green-sea-turtle-gets-prosthetic-fin/,,,,
How to transform your couch into a touchscreen,Technology,Innovation,7/1/2014,http://rethinkisrael.org/transform-couch-touchscreen/,,,,
Ellen DeGeneres wants to turn three grandmothers into reality TV stars,Entertainment & Lifestyle,Arts,7/2/2014,http://rethinkisrael.org/ellen-degeneres-produce-gran-plan-reality-series/,,,,
Human evolution reveals clue to solving modern illnesses,Science & Medicine,Health,7/2/2014,http://rethinkisrael.org/human-evolution-reveals-clue-solving-modern-illnesses/,,,,
Lights festival in Jerusalem brings fantastical displays,Entertainment & Lifestyle,Lifestyle,7/2/2014,http://rethinkisrael.org/lights-festival-in-jerusalem-brings-fantastic-displays/,,,,
23 gorgeous flowers at the Jerusalem Botanical Gardens,Entertainment & Lifestyle,Nature,7/2/2014,http://rethinkisrael.org/23-gorgeous-flowers-jerusalem-botanical-gardens/,,,,
Will.i.am investigates the Israeli tech scene,Technology,Innovation,7/2/2014,http://rethinkisrael.org/will-i-am-investigates-israeli-tech-scene/,,,,
10 mouthwatering dishes of Israel you should really try,Entertainment & Lifestyle,Food,7/3/2014,http://rethinkisrael.org/10-israeli-dishes-try/,,,,
Blood test may be able to detect breast cancer before mammograms can,Science & Medicine,Health,7/3/2014,http://rethinkisrael.org/blood-test-may-detect-breast-cancer-before-mammograms-can/,,,,
5 herbal remedies backed by Israeli researchers,Science & Medicine,Health,7/3/2014,http://rethinkisrael.org/5-herbal-remedies-backed-israeli-researchers/,,,,
Tennis goes high-tech with new tracking system,Sports,Innovation,7/3/2014,http://rethinkisrael.org/tennis-goes-high-tech-with-new-tracking-system/,,,,
"Meet E4, the self-propelled, dust-busting solar panel robot",Technology,Innovation,7/3/2014,http://rethinkisrael.org/meet-e4-self-propelled-dust-busting-solar-panel-robot/,,,,
5 cool new robot inventions,Technology,Innovation,7/8/2014,http://rethinkisrael.org/5-cool-new-robot-inventions/,,,,
CNN report highlights Israel's tech scene,Entertainment & Lifestyle,Innovation,7/8/2014,http://rethinkisrael.org/cnn-report-highlights-israels-tech-scene/,,,,
7 of the world's most offbeat and unusual restaurants,Entertainment & Lifestyle,Food,7/8/2014,http://rethinkisrael.org/7-world-offbeat-unusual-restaurants/,,,,
Star gives surprise street performance of hit 'Let Her Go',Entertainment & Lifestyle,Arts,7/8/2014,http://rethinkisrael.org/star-surprise-street-performance-hit-let-her-go/,,,,
10 futuristic eco-buildings from around the world,Technology,Innovation,7/10/2014,http://rethinkisrael.org/10-futuristic-eco-buildings-around-world/,,,,
Israel offers MBA scholarships to Indian women,Entertainment & Lifestyle,Lifestyle,7/10/2014,http://rethinkisrael.org/israel-offers-mba-scholarships-indian-women-entrepreneurs/,,,,
New sensor gives plants ability to 'drink' when thirsty,Technology,Nature,7/10/2014,http://rethinkisrael.org/smart-water-sensor-gives-plants-ability-drink-thirsty/,,,,
"9 whimsical, wonderful paintings by Isaac Maimon",Entertainment & Lifestyle,Arts,7/10/2014,http://rethinkisrael.org/9-wonderful-paintings-isaac-maimon/,,,,
Starbucks cuts the cord on smartphone charging,Technology,Innovation,7/10/2014,http://rethinkisrael.org/starbucks-powermat-wireless-phone-charging/,,,,
Look & Cook recipe app will turn you into a culinary pro,Technology,Food,7/11/2014,http://rethinkisrael.org/look-cook-app-will-turn-culinary-pro/,,,,
Shock-absorbing wheel eases wheelchairs over rough terrain,Technology,Health,7/11/2014,http://rethinkisrael.org/shock-absorbing-wheel-eases-wheelchairs-rough-terrain/,,,,
Are LEGO-like Smart Bricks the future of home construction?,Technology,Innovation,7/11/2014,http://rethinkisrael.org/lego-like-smart-bricks-future-home-construction/,,,,
8 delicious vegan-friendly foods of Israel,Entertainment & Lifestyle,Food,7/11/2014,http://rethinkisrael.org/8-delicious-vegan-foods-israel/,,,,
Long-range electric car battery debuts in Montreal,Technology,Innovation,7/11/2014,http://rethinkisrael.org/long-range-electric-car-battery-debuts-montreal/,,,,
9 of the world's most exhilarating roller coasters,Entertainment & Lifestyle,Lifestyle,7/15/2014,http://rethinkisrael.org/9-worlds-heart-pounding-roller-coasters/,,,,
6 ways to achieve that post-spa skin glow – without leaving home,Entertainment & Lifestyle,Health,7/16/2014,http://rethinkisrael.org/6-ways-achieve-post-spa-skin-glow-without-leaving-home/,,,,
Exploring Eilat's beautiful Coral Reef Nature Reserve,Entertainment & Lifestyle,Nature,7/16/2014,http://rethinkisrael.org/explore-eilat-beautiful-coral-reef-nature-reserve/,,,,
"
5 days of art, community and self-expression",Entertainment & Lifestyle,Arts,7/16/2014,http://rethinkisrael.org/5-days-art-community-self-expression/,,,,
Dishwasher-sized spacecraft in race to the moon,Technology,Innovation,7/17/2014,http://rethinkisrael.org/dishwasher-sized-spacecraft-race-moon/,,,,
New apps help diabetics manage data and get support,Science & Medicine,Health,7/17/2014,http://rethinkisrael.org/new-apps-help-diabetics-manage-data-get-support/,,,,
9 fascinating fountains around the world ,Entertainment & Lifestyle,Arts,7/17/2014,http://rethinkisrael.org/9-fascinating-fountains-around-world/,,,,
He's building robots that move like animals – including people,Technology,Innovation,7/18/2014,http://rethinkisrael.org/building-robots-move-like-animals-including-humans/,,,,
